area,dlg_file,character,line_type,conv_position,strref,voice_file,voice_actor,text
Mortuary - 1st Floor,DSOEGO,Soego,narration,0,1431,1431.wav,sevrL_bats,"You see a tired-looking man in a faded black robe. His narrow face is extremely pale, and he doesn't look as if he has been sleeping: his shoulders are slumped, and the flesh sags loosely beneath his bloodshot eyes. He doesn't appear to notice you... he must mistake you for one of the cadaverous workers."
Mortuary - 1st Floor,DSOEGO,Soego,mixed,1,1437,1437.wav,sevrL_bats,"The Dustman's head snaps up as you address him. ""Par... pardon? Did you just speak to me?"""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,2,1443,1443.wav,sevrL_bats,"""By the powers!"" The Dustman jumps, then stares intently at you. You notice his eyes aren't bloodshot as much as they have a red tinge to them. ""Sirrah, you force an unflattering confession from me: you make a convincing zombie."" He bows slightly. ""I am Soego. May I ask your business here..."" He glances at your scars. ""...looking like that?"" "
Mortuary - 1st Floor,DSOEGO,Soego,mixed,3,1449,1449.wav,sevrL_bats,"The Dustman studies you for a moment, then shakes his head. ""More imaginings..."" He sighs and rubs his eyes. ""These fever spells are getting worse..."""
Mortuary - 1st Floor,DSOEGO,Soego,narration,4,1455,1455.wav,sevrL_bats,"The Dustman looks carefully at you, then leans in... his lips peel back, revealing a row of dirty, sharp teeth, and he begins to sniff at you like a rat."
Mortuary - 1st Floor,DSOEGO,Soego,mixed,5,1461,1461.wav,sevrL_bats,"As you are turning to leave, the Dustman gives a slight hiss, then leans in and sniffs at you. ""By the powers!"" The Dustman step back, his eyes widening. You notice his eyes aren't bloodshot so much as they have a red tinge to them. ""Sirrah, you force an unflattering confession from me: you make a convincing zombie."" He bows slightly. ""I am Soego. May I ask your business here... looking like that?"" "
Mortuary - 1st Floor,DSOEGO,Soego,spoken,6,1468,1468.wav,sevrL_bats,"""Oh, but I'm afraid it *is* my concern."" Soego's eyes gleam red, and the corners of his mouth twitch slightly, as if in anticipation. ""Mayhap..."" He sneers, displaying a row of sharp, dirty teeth. ""Mayhap I should call the guards? Yes... yes, I think I will do that."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,7,1474,1474.wav,sevrL_bats,"""Really?"" The Dustman scrutinizes you. ""You *do* look like you've been prepared. I don't know how you would have survived such pain... are you *in* pain? You look it."""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,8,1477,1477.wav,sevrL_bats,"Soego nods, and the corner of his mouth twitches. ""Why... of course. These halls *can* be confusing to visitors. No harm done, but you are not permitted here in the Mortuary after nine bells - let me open the front gate for you."""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,9,1480,1480.wav,sevrL_bats,"Soego reaches to his belt, fumbles at it for a moment, then hisses. ""The key!"" His eyes gleam a bright red, and his lips peel back in anger... his expression is almost animalistic. ""Someone's stolen the key!"" He turns to you and snarls. ""You! You must have done this!"" "
Mortuary - 1st Floor,DSOEGO,Soego,narration,10,1486,1486.wav,sevrL_bats,"Soego takes a large key from his belt and walks to the front gate. You can't help but notice his peculiar walk... he hunches forward, as if to keep balance. "
Mortuary - 1st Floor,DSOEGO,Soego,narration,11,1489,1489.wav,sevrL_bats,"Once he reaches the gate, Soego turns the key in the lock. A moment later, a grating sound comes from within the lock chamber... the sound carries throughout the main hall, echoing off the marble floors. "
Mortuary - 1st Floor,DSOEGO,Soego,spoken,12,1491,1491.wav,sevrL_bats,"""Very well. The front gate is now unlocked, but you cannot re-enter."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,13,1494,1494.wav,sevrL_bats,"""Get out?"" Soego frowns. ""How did you get in?"""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,14,1500,1500.wav,sevrL_bats,"Soego clicks his tongue. ""Most curious."" He studies you again. ""Is it possible that you are one of the Contracted?"""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,15,1503,1503.wav,sevrL_bats,"As you are turning to leave, the Dustman stops sniffing you and gives a slight hiss. ""By the powers!"" The Dustman draws back, his eyes widening. You notice his eyes aren't bloodshot so much as they have a red tinge to them. ""Sirrah, you force an unflattering confession from me: you make a convincing zombie."" He bows slightly. ""I am Soego. May I ask your business here... looking like that?"" "
Mortuary - 1st Floor,DSOEGO,Soego,spoken,16,1511,1511.wav,sevrL_bats,"""I see..."" Soego's eyes gleam red, and the corners of his mouth twitch slightly, as if in anticipation. ""Mayhap..."" He sneers, displaying a row of sharp, dirty teeth. ""Mayhap I should call the guards? Yes... yes, I think I will do that."""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,17,1517,1517.wav,sevrL_bats,"As you turn to leave, Soego gives an angry hiss... then suddenly composes himself and raises his hand. ""No, no, I'm afraid you can't leave. Something is amiss here. I think it is best we get this matter straightened out..."" The corners of his lips twitch slightly, and his eyes gleam. ""...mayhap the guards could help. Yes... mayhap I should call them."""
Mortuary - 1st Floor,DSOEGO,Soego,narration,18,1524,1524.wav,sevrL_bats,"Soego takes a step back, then claps his hands together sharply three times. In response, a great iron bell starts tolling throughout the Mortuary."
Mortuary - 1st Floor,DSOEGO,Soego,narration,19,1526,1526.wav,sevrL_bats,"Before he can utter a word, your hands clamp onto his temples, and you twist his head sharply to the left. "
Mortuary - 1st Floor,DSOEGO,Soego,narration,20,1529,1529.wav,sevrL_bats,"There is a *crack* as his neck snaps... but instead of falling limp, the Dustman gives a strangled cry and rips himself from your grip! "
Mortuary - 1st Floor,DSOEGO,Soego,narration,21,1532,1532.wav,sevrL_bats,"The Dustman looks as shocked as you; his eyes are wild, and he is making a gurgling noise in his throat... you're certain you've snapped his neck, for his head is twisted at an unnatural angle, but he's still alive! As you watch, stunned, he claps his hands weakly three times. In response, a great iron bell begins tolling throughout the Mortuary."
Mortuary - 1st Floor,DSOEGO,Soego,action,22,1534,1534.wav,sevrL_bats,"*Something* must have alerted the Dustman... before you can even lunge for him, he leaps back, his eyes gleaming red and his teeth bared. With a hiss, he claps his hands together sharply three times. In response, a great iron bell starts tolling throughout the Mortuary."
Mortuary - 1st Floor,DSOEGO,Soego,spoken,23,4792,4792.wav,sevrL_bats,"""There are some that have signed a contract allowing the Dustmen to use their bodies once they have died. It is possible that you were caught in an... unusual mix-up. You seem much brighter than our regular zombies."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,24,4796,4796.wav,sevrL_bats,"""Oh, yes. In exchange for a small sum of copper, many are willing to sell a body they will no longer need when they reach the True Death."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,25,4800,4800.wav,sevrL_bats,"""The shells perform menial tasks around the Mortuary. They haul bodies, clean floors, assist us in preparing bodies for burial... relatively simple tasks. It is unfortunate, but they are not capable of following any complicated instructions."""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,26,4804,4804.wav,sevrL_bats,"Soego nods. ""You may ask your questions."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,27,4808,4808.wav,sevrL_bats,"""Pardon?"""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,28,4840,4840.wav,sevrL_bats," ""What? Why would anyone...?"" Soego's voice suddenly drops to a hiss and his lips peel back to reveal a row of jagged teeth. ""An *Anarchist.*"" His eyes gleam a bright red. ""An Anarchist. *Here.*"" He suddenly seems to remember your presence, and he composes himself. ""Thank you for informing me. I will see to it that the guards handle this matter."" "
Mortuary - 1st Floor,DSOEGO,Soego,narration,29,4855,4855.wav,sevrL_bats,"You are about to mention it, when suddenly you stop. You feel a strange prickling sensation as you look at Soego... for some reason, you don't think you should say anything. "
Mortuary - 1st Floor,DSOEGO,Soego,mixed,30,4860,4860.wav,sevrL_bats,"Soego falls silent for a moment, studying you. His eyes gleam a bright red, and he gives a soft hiss. ""I think you have outstayed your welcome."" To your surprise, he takes a step back and claps his hands sharply three times. In response, a great iron bell starts tolling throughout the Mortuary."
Mortuary - 1st Floor,DSOEGO,Soego,mixed,31,4863,4863.wav,sevrL_bats,"Soego manages a weak smile, and the corners of his mouth twitch slightly. ""I have recently taken ill... minor fevers, nothing more. Sometimes they make sleep... difficult."""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,32,4868,4868.wav,sevrL_bats,"Soego shakes his head. ""No, no, thank you for your concern... I will endure."" He frowns slightly. ""Was there something else you wanted?"""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,33,4872,4872.wav,sevrL_bats,"""Pharod? Of course I know him."" He frowns, and his eyes gleam red. ""A ghoulish man. No respect for the dead, and even less for the living. He is a scavenger. A Collector."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,34,4878,4878.wav,sevrL_bats,"""Collectors make their living gathering corpses and bringing them here to the Mortuary. We then make sure the bodies receive a proper burial."" "
Mortuary - 1st Floor,DSOEGO,Soego,spoken,35,4884,4884.wav,sevrL_bats,"""Yes."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,36,4889,4889.wav,sevrL_bats,"""I know he resides in the Hive, the slums outside the Mortuary, but I do not know exactly where. Some of the other Collectors may know, if they'll talk to you."" "
Mortuary - 1st Floor,DSOEGO,Soego,spoken,37,4894,4894.wav,sevrL_bats,"""A journal?"" Soego seems confused. ""No, I have not seen one."""
Mortuary - 1st Floor,DSOEGO,Soego,narration,38,4898,4898.wav,sevrL_bats,"You see a tired-looking man in a black robe. His narrow face is extremely pale, and he doesn't look as if he has been sleeping: his shoulders are slumped, and the flesh sags loosely beneath his bloodshot eyes. He looks so lost in thought he doesn't even notice you."
Mortuary - 1st Floor,DSOEGO,Soego,spoken,39,4904,4904.wav,sevrL_bats,"""Greetings..."" The man turns to face you and makes a slight bow. You suddenly notice that his eyes aren't bloodshot so much as they have a red tinge to them. ""I am Soego. How may I..."" He suddenly seems to notice your scars, and the corner of his mouth twitches. ""I'm sorry, sirrah, are you lost?"""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,40,4909,4909.wav,sevrL_bats,"""Well, then..."" The corners of Soego's mouth twitch again, as if in anticipation. ""Let me call the guards to lead you out. Stand for a moment."" He looks like he is about to call the guards."
Mortuary - 1st Floor,DSOEGO,Soego,spoken,41,4916,4916.wav,sevrL_bats,"""I do not recall admitting you."" Soego looks at you suspiciously, and his eyes gleam red in the light of the torches. ""May I ask what you are doing here?"""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,42,4924,4924.wav,sevrL_bats,"He seems surprised. ""You... woke up on one of the slabs upstairs?"""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,43,4927,4927.wav,sevrL_bats,"Soego nods. ""Who are you here to see? I would be more than happy to direct you."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,44,4934,4934.wav,sevrL_bats,"""Dhall? Dhall the Scrivener can be found in the receiving room on the upper floor."" The corner of Soego's mouth twitches briefly. ""He is rather busy and his health is failing. Unless you have pressing business, I would not disturb him."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,45,4938,4938.wav,sevrL_bats,"""Yes... the receiving room is where the bodies from the city are taken when they are brought here. They are recorded and then prepared for burial."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,46,4941,4941.wav,sevrL_bats,"""Oh, there is nothing wrong with him. Dhall is..."" Soego clicks his teeth. ""...*old.* His long devotion to cataloging the dead has nearly run its course. Death will no doubt soon follow the wasting sickness he has contracted."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,47,4943,4943.wav,sevrL_bats,"""Deionarra? There is a woman by that name interred in the northwest memorial hall. Is that who you are looking for?"""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,48,4946,4946.wav,sevrL_bats,"""I do not know, but she has been here for quite some time. Her father might know what befell her... he visits here from his offices in the Upper Ward frequently. It was his wish that she be placed in the memorial hall here."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,49,4948,4948.wav,sevrL_bats,"""Adahn..."" Soego's eyes narrow, and the red tinge you saw in them before seems more pronounced. ""No one of that name resides within the Mortuary halls, living or dead."" His mouth twitches, and to your surprise, he sniffs the air for a moment. "
Mortuary - 1st Floor,DSOEGO,Soego,mixed,50,4950,4950.wav,sevrL_bats,"The corners of Soego's mouth twitch again, and his eyes gleam. ""Then what is your business here?"""
